-6.5916386,-0.9796557,-5.958009,5.590144,6.2486963,1.6036954
-8.398797,1.1999772,-7.6244783,7.1873426,8.1101675,-1.7015333
-8.110434,1.239938,-7.3434725,6.907117,7.84521,-1.7419217
8.244643,1.1848085,7.480997,-6.9876795,-7.815174,-1.6290219
8.744348,-1.0972852,7.9355545,-7.477062,-8.372159,1.8533337
8.822938,-1.0681767,8.027309,-7.558217,-8.4253645,1.8714302
8.955343,1.2484022,8.130941,-7.5779037,-8.435658,-1.5809529
9.034863,1.3146933,8.174185,-7.6462464,-8.507663,-1.6822197
9.117383,1.2722145,8.247201,-7.7392225,-8.587079,-1.6647584
8.900779,1.2278895,8.019014,-7.5829086,-8.356553,-1.6276968
8.778309,-1.143483,7.928192,-7.5716615,-8.348678,1.8249195
8.833026,-1.1014051,7.972869,-7.655046,-8.38841,1.8588719
8.883849,-1.0445913,8.011902,-7.6803255,-8.420732,1.8337858
8.752877,-1.1106149,7.8922033,-7.596565,-8.328196,1.8069859
8.799298,1.0675601,7.911522,-7.5526633,-8.2780905,-1.6668749
8.724028,1.0658042,7.8850846,-7.534436,-8.227912,-1.7725928
8.758712,1.028614,7.925642,-7.582593,-8.303666,-1.7311046
8.664374,-1.3954766,7.893444,-7.608054,-8.391462,1.7335386
8.674217,-1.4558789,7.921253,-7.6240287,-8.453082,1.7717981
8.619416,-1.4372461,7.905563,-7.6104755,-8.42585,1.7631915
8.562299,-1.4486932,7.8751645,-7.553527,-8.435516,1.7501674
8.5304785,-1.4490596,7.9010534,-7.555331,-8.448731,1.744653
8.512059,-1.4307536,7.9204903,-7.507322,-8.481322,1.7444308
8.503596,-1.3871412,7.9307337,-7.506852,-8.508867,1.7530215
8.525178,0.96850175,7.961667,-7.4199605,-8.420621,-1.6931136
8.579473,1.1391865,8.01342,-7.438877,-8.458067,-1.765693
8.616403,1.184789,8.034392,-7.4616156,-8.485589,-1.732763
8.607396,1.2581441,8.020075,-7.425241,-8.47669,-1.701186
8.670888,1.3136803,8.044771,-7.4383116,-8.488506,-1.6617506
8.627709,1.2733042,7.947715,-7.3512917,-8.410283,-1.6300783
8.677056,-1.0582418,7.941407,-7.4206405,-8.517277,1.852274
-8.612781,1.2893308,-7.817733,7.376154,8.229426,-1.5955937
-8.477897,1.2655629,-7.74619,7.3391247,8.157035,-1.6857417
-8.311963,1.2418838,-7.6391964,7.2276363,8.060868,-1.6564984
-8.298949,-1.1510522,-7.6550007,7.193877,8.005381,1.821367
-8.309641,-1.2686962,-7.7041855,7.267334,8.076963,1.8168073
-8.279395,-1.3451682,-7.7163706,7.3079076,8.087038,1.7695739
-8.284801,-1.432055,-7.7121563,7.3234787,8.117751,1.7318747
-8.2681675,-1.4470434,-7.6910563,7.3509765,8.112484,1.7343857
-8.269614,-1.4553964,-7.6723003,7.3893547,8.133287,1.7337635
-8.290913,-1.4312152,-7.6600003,7.393716,8.133979,1.7397795
-8.312739,-1.3878113,-7.6394634,7.411421,8.129116,1.7343786
-8.345271,-1.2812434,-7.634162,7.4334526,8.075851,1.667984
-8.360606,1.0190772,-7.654057,7.522436,8.1701145,-1.6916096
-8.376489,1.2873275,-7.623368,7.5006847,8.136062,-1.7382741
-8.40412,1.3629134,-7.6058064,7.496526,8.104611,-1.6556172
-8.411877,1.425787,-7.588642,7.459989,8.042223,-1.6053274
-8.419953,1.476886,-7.611845,7.433349,7.995452,-1.5750854
-8.446041,1.4856386,-7.6320963,7.439329,7.9982142,-1.5671
-8.483028,1.4272163,-7.670848,7.420127,7.98295,-1.5651815
-8.489152,-0.84455186,-7.6765056,7.3214645,7.844222,1.8549454
-8.46511,-1.0062838,-7.6440616,7.279331,7.833345,1.9025023
-8.497758,-1.078172,-7.670474,7.2905035,7.8950624,1.8601975
-8.502034,-1.1697022,-7.6617947,7.275777,7.9241185,1.8267233
-8.512201,-1.3251506,-7.650873,7.281527,7.9512954,1.7737463
-8.516844,-1.4541553,-7.6497154,7.249568,7.987768,1.7270341
-8.529653,-1.583768,-7.634654,7.27069,8.022229,1.6921365
-8.535567,-1.651518,-7.6399164,7.254774,8.051492,1.6875191
-8.481831,-1.681807,-7.574407,7.1822214,8.017417,1.6857088
-8.396131,-1.6249346,-7.523386,7.1226234,7.983531,1.7074227
-8.338736,-1.5680026,-7.479224,7.036173,7.916049,1.7281902
7.712756,-1.5130502,7.0602856,-6.640975,-7.447567,1.7786505
8.735782,-1.2387704,7.94676,-7.459673,-8.415626,1.7647007
8.718783,1.1148465,7.875027,-7.3886204,-8.269946,-1.6490381
8.791936,1.3257287,7.933977,-7.4806824,-8.315358,-1.6805775
8.821917,1.4380068,7.9487514,-7.5429792,-8.365647,-1.6075997
8.811933,1.497598,7.9164047,-7.556119,-8.353198,-1.5714555
8.848264,1.5248662,7.940003,-7.604459,-8.401166,-1.5551951
8.841372,1.500672,7.939801,-7.6163926,-8.418984,-1.5647702
8.816322,1.36896,7.9223614,-7.615341,-8.42013,-1.5766742
8.774907,-1.047924,7.9289722,-7.661232,-8.475597,1.8461409
8.715915,-1.1719081,7.9107165,-7.6151133,-8.434451,1.8764029
8.844892,-1.2276422,8.059495,-7.7119503,-8.520609,1.8453722
8.875579,-1.3427082,8.152818,-7.737973,-8.565818,1.804784
8.75488,-1.3988084,8.051378,-7.6409035,-8.429052,1.7748771
8.648995,-1.5373298,7.96562,-7.534357,-8.335967,1.7217596
8.616563,-1.5757258,7.9720745,-7.517818,-8.340844,1.7149568
8.634379,-1.5970362,7.948449,-7.5258255,-8.352981,1.7197704
8.614713,-1.5433692,7.934117,-7.5148244,-8.36567,1.7391725
8.601909,-1.4426441,7.9162617,-7.5249443,-8.380364,1.7411163
8.63639,0.8755089,7.8922396,-7.4529905,-8.324297,-1.6967573
8.651519,1.1091391,7.8683996,-7.4570103,-8.337483,-1.7820237
8.7115555,1.2113059,7.8991814,-7.5068054,-8.418023,-1.7381215
8.698165,1.272366,7.850237,-7.4890203,-8.435073,-1.7079697
8.749,1.3297511,7.8971453,-7.5133276,-8.496297,-1.6688502
8.718213,1.3820952,7.88095,-7.467374,-8.460643,-1.6353188
8.734605,1.1152632,7.9066596,-7.4668303,-8.460058,-1.0564568
8.983077,1.4139539,8.149906,-7.6359806,-8.615571,-1.5773063
8.79585,1.4305532,8.022136,-7.430318,-8.416533,-1.6072624
-8.475517,1.4648554,-7.613346,7.255724,8.204423,-1.6406202
-8.573359,1.3503193,-7.6857014,7.359991,8.370115,-1.5941999
-8.381356,1.2322725,-7.5403776,7.2315607,8.205861,-1.5881085
-8.373084,-1.2428818,-7.565424,7.1851797,8.109294,1.7940505
-8.376059,-1.3564727,-7.620635,7.2118816,8.128863,1.7902362
-8.355955,-1.4216064,-7.670113,7.2280703,8.122909,1.7408535
-8.351292,-1.5089257,-7.69696,7.2300496,8.115276,1.7043099
-8.3373995,-1.487795,-7.7146707,7.233593,8.095589,1.7138152
-8.347905,-1.4904579,-7.7412467,7.233484,8.065627,1.7150407
-8.352834,-1.4628628,-7.763298,7.235669,8.056305,1.7320232
-8.366662,-1.3938774,-7.768836,7.242611,8.030099,1.7632766
-8.4077635,-1.2750655,-7.7419333,7.247177,8.049816,1.7752197
-8.437659,-1.063857,-7.6885376,7.256604,8.073345,1.7702699
-8.440285,1.3431867,-7.6391807,7.3436747,8.140332,-1.6299305
-8.476544,1.4470221,-7.628045,7.3570023,8.165349,-1.6356738
-8.507781,1.4361644,-7.5967035,7.333025,8.125915,-1.5876648
-8.4992895,1.4447211,-7.5602503,7.324063,8.070155,-1.5557425
-8.574433,-0.5260411,-7.606058,7.279952,8.032222,1.6884074
-8.476276,-0.927592,-7.529058,7.2000875,7.913185,1.9302397
-8.516814,-0.96365875,-7.5976043,7.242995,7.9663887,1.9009438
-8.506821,-0.99893993,-7.6235313,7.2293053,7.961132,1.8699408
-8.508733,-1.1307205,-7.659704,7.2077365,7.9641924,1.8426125
-8.487555,-1.1579454,-7.6859813,7.19323,7.9785156,1.8190753
-8.472185,-1.254305,-7.686881,7.173315,7.9908566,1.7988694
-8.461218,-1.3553978,-7.706644,7.153822,8.021036,1.7719893
-8.459416,-1.3879576,-7.722453,7.1600895,8.070531,1.7684035
