0.054976605,1.0,0.089547604,0.0050881463
0.02735098,1.0,-0.013030886,0.0059519773
0.036230244,1.0,-0.086232975,-0.024082048
-0.00676006,1.0,-0.040571008,-0.0004532036
0.024558688,1.0,-0.022087997,0.027809516
0.01065229,1.0,-0.006373907,0.04350788
0.00608796,1.0,0.10985832,0.0569459
0.010795638,1.0,-0.1325311,0.007578204
0.024205115,1.0,-0.021993212,0.006989688
-0.008221514,1.0,0.059533603,0.01997939
0.0144976815,1.0,0.013216927,0.02063481
-0.03020001,1.0,0.09303225,0.051672474
0.008158609,1.0,-0.10805717,0.0036242895
0.016908273,1.0,-0.13593425,0.040560633
0.023383245,1.0,-0.23470625,0.049317688
0.033288144,1.0,-0.17223774,0.04178409
-0.052204087,1.0,-0.07028994,0.033941414
-0.008319557,1.0,-0.23337759,0.0041389083
-0.006519059,1.0,-0.011881172,0.02535769
0.051050343,1.0,-0.12554882,0.037153862
0.00047247336,1.0,-0.050480478,0.021697726
0.00021042157,1.0,-0.032970656,0.050405134
-0.010177721,1.0,-0.23306055,0.03738744
-0.012453879,1.0,0.029968621,0.033363268
0.024944898,1.0,-0.15256599,0.08305914
0.04422343,1.0,-0.07615976,0.017074065
-0.0076028258,1.0,-0.06968584,0.0505044
-0.021833718,1.0,-0.15095861,0.014470813
-0.02571491,1.0,-0.1727784,0.043281607
0.004626914,1.0,-0.19562744,0.073429
0.0022525624,1.0,-0.22426619,0.05363755
-0.020807642,1.0,-0.08779758,0.06253659
0.0050500375,1.0,-0.18691757,0.024374746
-0.041656524,1.0,-0.20343359,0.07653831
0.011507527,1.0,-0.13989525,0.054561283
-0.012311863,1.0,-0.15899067,0.07032224
-0.028841762,1.0,-0.06712653,0.07256899
-0.030065754,1.0,-0.19909394,0.011006196
0.004407961,1.0,-0.08050958,0.068542875
0.02836538,1.0,-0.18222442,0.0695048
0.045363493,1.0,-0.19145912,0.058732167
-0.00047893592,1.0,-0.058170162,0.08288425
0.0074735554,1.0,-0.14011964,0.041610684
0.006582838,1.0,-0.08373446,0.06207082
0.04279471,1.0,-0.21265948,0.05242547
0.05125449,1.0,-0.17676607,0.04181251
0.019123176,1.0,-0.10685899,0.02069597
0.055699237,1.0,-0.16777176,0.005635928
0.06431349,1.0,0.07366098,0.026675785
0.119831614,1.0,-0.0058605215,0.019411221
0.08184435,1.0,0.03126494,0.004622902
0.07220052,1.0,0.014605476,0.041841887
0.034609545,1.0,-0.012830886,0.016782014
0.024879403,1.0,-0.03230534,0.0598945
-0.010136747,1.0,-0.021884486,0.018006478
0.019277586,1.0,-0.09917818,0.055016115
-0.014719807,1.0,-0.1617538,0.04902118
0.028245311,1.0,-0.036378827,0.030728027
0.015672728,1.0,-0.053079493,0.09070726
0.043543357,1.0,0.10347298,0.041605044
0.009761189,1.0,-0.13127202,0.06994914
0.0050227987,1.0,-0.0609883,0.04786563
0.011150422,1.0,-0.16902822,0.04121023
0.006918963,1.0,-0.23317908,0.0673535
-0.0053634257,1.0,-0.19574721,0.0145847
0.018228048,1.0,-0.18248157,0.08158
0.02777671,1.0,-0.07455321,0.03515922
0.013990043,1.0,-0.13158238,0.06402712
0.025618626,1.0,0.014878286,0.07731423
-0.00097428006,1.0,-0.23117298,0.06114553
-0.011413569,1.0,-0.19241026,0.047824573
-0.034095965,1.0,-0.15957546,0.037925735
0.01782701,1.0,-0.30784556,0.04925091
0.0044375537,1.0,-0.10015956,0.064682186
0.04596939,1.0,-0.19435553,0.040091563
-0.006136979,1.0,-0.17547464,0.035480965
0.010881846,1.0,-0.20984614,0.084667
-0.0041594985,1.0,-0.24229425,0.06809342
-0.017630283,1.0,-0.13529262,0.07041431
-0.018651124,1.0,-0.2400183,0.040574312
-0.014076807,1.0,-0.29943597,0.017616216
-0.017586784,1.0,-0.21187708,0.095341705
0.016236713,1.0,-0.19464609,0.065914124
0.050090455,1.0,-0.18436605,0.10763238
-0.010997223,1.0,-0.20180748,0.053436253
0.0021736461,1.0,-0.22266947,0.060111616
-0.025522245,1.0,-0.2376408,0.044622887
0.0044352296,1.0,-0.2057809,0.045097284
-0.033698976,1.0,-0.23554751,0.08367573
0.028823037,1.0,-0.23513998,0.034755327
-0.00096659106,1.0,-0.2096447,0.05909153
0.035255734,1.0,-0.29822278,0.036638502
0.046474617,1.0,-0.15449926,0.029728957
0.038228963,1.0,-0.084448926,0.05512281
0.061820477,1.0,-0.15415609,0.021930667
0.020752894,1.0,-0.116655655,0.017683478
0.006569934,1.0,-0.10269404,0.006082032
0.017276283,1.0,-0.27667618,-0.018179482
0.05946721,1.0,0.053750228,0.03926974
