0.0063015968,-0.08439375,-0.015541978,-0.09331614,0.08622595,0.016752481,0.045494355,-0.16649053,-0.014519371,-0.0584109,-0.05243148,-0.040909678,-0.095714584,0.036192935,0.06766072,-0.1764415,-0.06854042,-0.0075245723,-0.04813665
0.11524618,-0.14883222,-0.037543967,-0.14952898,0.24284628,-0.0061072633,0.062028185,-0.17512017,0.013239965,-0.11372946,-0.10387354,-0.08108842,-0.26441547,0.15747166,0.124862224,-0.19939181,-0.108613916,-0.02045595,-0.06420279
0.12841935,-0.14992107,-0.03192912,-0.14926423,0.24812153,0.00010842085,0.062099133,-0.17362712,0.0065227374,-0.11524448,-0.102258705,-0.08016302,-0.27385777,0.17378826,0.12550516,-0.20057847,-0.110589124,-0.020258212,-0.06416193
0.1286479,-0.14985667,-0.033506297,-0.1495582,0.24781126,-0.001667276,0.06206307,-0.174035,0.008463681,-0.115121946,-0.10191975,-0.07990679,-0.27499428,0.17336674,0.12538305,-0.2002779,-0.110944174,-0.020267667,-0.06413461
0.12867744,-0.1492088,-0.03402453,-0.14906669,0.24879494,-0.0019935519,0.06204976,-0.17421658,0.008803777,-0.11473569,-0.102459736,-0.08069359,-0.27492398,0.17354694,0.12564926,-0.20015919,-0.11011184,-0.020283928,-0.06412275
0.12807854,-0.14881445,-0.020883039,-0.14924332,0.24791154,0.0122222155,0.0620943,-0.17410149,-0.010477446,-0.11462487,-0.10249434,-0.0801158,-0.2741576,0.17463069,0.12699474,-0.20015115,-0.11079664,-0.020199994,-0.064091384
0.12880017,-0.14833209,-0.038525358,-0.15002054,0.2481764,-0.0073621795,0.06208969,-0.1748064,0.0153912455,-0.115409255,-0.10250539,-0.07953035,-0.27415743,0.17342182,0.12668958,-0.19972013,-0.11017708,-0.02030105,-0.064186886
0.12937318,-0.1475073,-0.046199217,-0.15021792,0.24811932,-0.015925638,0.062047478,-0.17455679,0.027949505,-0.11695954,-0.10233896,-0.07898769,-0.27367976,0.1725116,0.12693256,-0.19993375,-0.10930445,-0.020343924,-0.06419259
0.12930371,-0.14678855,-0.04703839,-0.15072885,0.24841055,-0.016903363,0.062035754,-0.1748744,0.02999442,-0.11627978,-0.102137305,-0.078805275,-0.2725156,0.17283311,0.1279232,-0.19969939,-0.10905179,-0.020341655,-0.0641817
0.12924293,-0.14695176,-0.047371715,-0.1510845,0.24886662,-0.017304517,0.06202196,-0.17623775,0.030694582,-0.114836305,-0.101562284,-0.07828466,-0.27393237,0.1729802,0.12820084,-0.19863132,-0.10857127,-0.02023186,-0.06416482
0.12929703,-0.14723328,-0.047322348,-0.15005843,0.2492005,-0.017211698,0.06204012,-0.17695756,0.032562822,-0.11291124,-0.10040795,-0.07676606,-0.27439275,0.1729294,0.12942451,-0.1981073,-0.10867923,-0.0198669,-0.06418264
0.12874167,-0.14815012,-0.047391817,-0.15102342,0.24982819,-0.017079912,0.062049486,-0.17725688,0.032862455,-0.1125077,-0.09988318,-0.07792106,-0.27473754,0.17373459,0.12927169,-0.19791523,-0.11104069,-0.02015766,-0.0641969
0.12947349,-0.14839816,-0.04704635,-0.15086599,0.2504213,-0.016596653,0.062035177,-0.17755249,0.03498575,-0.11236945,-0.09989958,-0.07793878,-0.27634382,0.17257108,0.12913541,-0.19765729,-0.11122646,-0.020145578,-0.06419022
0.13000214,-0.1488845,-0.04709752,-0.14858794,0.2513629,-0.016164027,0.062027916,-0.17703526,0.03581877,-0.11015095,-0.09854988,-0.07742033,-0.27533868,0.17184733,0.1299742,-0.19811195,-0.1094177,-0.019690322,-0.06417876
0.13052401,-0.14971432,-0.046498418,-0.14904156,0.25223812,-0.014953233,0.062030964,-0.17537858,0.039648697,-0.11274636,-0.097761564,-0.079264805,-0.27528,0.1709298,0.13043994,-0.19934003,-0.110129364,-0.020118969,-0.06420809
0.1309943,-0.15173191,-0.04596758,-0.14814955,0.25364375,-0.0137573555,0.062029313,-0.17376602,0.043360606,-0.114469945,-0.09653864,-0.08089458,-0.27299678,0.16999689,0.1296822,-0.20055965,-0.11087305,-0.02032973,-0.06422389
0.13066939,-0.15452746,-0.045439318,-0.14742933,0.2543787,-0.012710668,0.06203918,-0.17286041,0.047049314,-0.11362718,-0.096100934,-0.08204131,-0.27316788,0.17015357,0.12759174,-0.20117067,-0.11096535,-0.02033127,-0.06424339
0.13047922,-0.1571796,-0.04518526,-0.1468193,0.25441727,-0.012777425,0.062139634,-0.15900862,0.04756312,-0.1138401,-0.09747631,-0.08208897,-0.2718306,0.1699064,0.12353785,-0.19128454,-0.11279062,-0.020259662,-0.06433698
0.13829459,-0.14437352,-0.046473563,-0.13698332,0.25910866,-0.016304187,0.06300436,0.13568097,0.035111755,-0.124513164,-0.1052993,-0.07682162,-0.26687288,0.16097724,0.12631007,0.10879152,-0.12980664,-0.019639792,-0.06519213
0.12542914,0.19489172,-0.032902837,-0.13181642,0.26477048,-0.0017923042,-0.011246946,0.1690392,0.116407305,-0.10313167,0.14406893,-0.08044973,-0.24638318,0.1942753,-0.123628974,0.13226579,-0.12921157,-0.017568497,0.012347255
0.12704155,0.19704892,-0.03418798,-0.13050476,0.2627654,-0.0030967817,-0.012299754,0.17160544,0.113288194,-0.1057526,0.14147815,-0.08099165,-0.24340305,0.1918303,-0.12809642,0.13025916,-0.12912628,-0.017813226,0.012989268
0.12781656,0.19610459,-0.03552068,-0.13118747,0.2600553,-0.0048667938,-0.0128654465,0.17193422,0.10778609,-0.109175816,0.13982047,-0.079949096,-0.2380364,0.19061533,-0.12930943,0.13007547,-0.12832749,-0.01811752,0.013091348
0.1290799,0.18809444,-0.03707935,-0.13374734,0.16191271,-0.0068267584,-0.0134942755,0.1668133,0.10148607,-0.10876416,0.14611618,-0.07830249,-0.14718002,0.18766108,-0.1346263,0.13401617,-0.1290794,-0.018425765,0.013272051
0.13351902,0.16002661,-0.038953654,-0.13911317,-0.1684868,-0.009065218,-0.0144921355,0.15299752,0.094396025,-0.10503277,0.17174068,-0.07432707,0.1557574,0.17667392,-0.15250383,0.14456944,-0.13351393,-0.018806873,0.013630632
0.13303407,0.16134247,-0.04075288,-0.14042303,-0.17509559,-0.011056893,-0.014835641,0.15067092,0.08673346,-0.10297568,0.17000169,-0.07430551,0.15607686,0.1776708,-0.15230332,0.14624724,-0.1347251,-0.019019024,0.013743531
0.13258392,0.16376446,-0.042325817,-0.14184922,-0.17921251,-0.013491847,-0.014898907,0.14876907,0.07785931,-0.10119949,0.16666418,-0.074089125,0.15443985,0.17853443,-0.1537745,0.14761497,-0.13531332,-0.019072218,0.013801407
0.13289368,0.16527049,-0.04380983,-0.14326504,-0.18078884,-0.0156180635,-0.014905699,0.1466041,0.06961109,-0.09926595,0.1651744,-0.07383502,0.15107293,0.1781422,-0.15455492,0.1491788,-0.13641436,-0.019106945,0.013834048
0.13369982,0.16773497,-0.04448863,-0.14384942,-0.18375316,-0.01686702,-0.01492694,0.1450114,0.065148756,-0.10075736,0.16521254,-0.07206396,0.14921395,0.1769885,-0.15255219,0.15033588,-0.13831449,-0.019127479,0.01384905
0.13440242,0.16996738,-0.04476864,-0.14344029,-0.18457708,-0.016933464,-0.014970113,0.14493516,0.063932955,-0.10247229,0.16643098,-0.07142811,0.14766282,0.17614439,-0.14907686,0.15033507,-0.13841665,-0.01916244,0.013866648
