-0.2186634,0.111509666,0.14281465,-0.21066572,-0.02965558,-0.2322181,-0.14879234,-0.14687847,-0.14492352,-0.16409321,0.028130969,-0.05638887
-0.2180701,0.110589616,0.14335905,-0.21058907,-0.029650046,-0.2321682,-0.14847597,-0.1464682,-0.14483142,-0.1640527,0.02812266,-0.057625003
-0.21946274,0.11128179,0.14317825,-0.21154802,-0.029654354,-0.23227409,-0.14879867,-0.14642604,-0.14486058,-0.16427822,0.028129257,-0.05649808
-0.21833313,0.11073288,0.14288525,-0.21097218,-0.029651897,-0.23229149,-0.14890583,-0.14676103,-0.1447506,-0.16401702,0.028125226,-0.057988588
-0.21911043,0.110706285,0.1428963,-0.2109555,-0.029651085,-0.2321208,-0.1489043,-0.1467661,-0.14483519,-0.16394107,0.028124558,-0.057217795
-0.22024676,0.11026066,0.14311208,-0.21187632,-0.029640593,-0.23375902,-0.14858492,-0.14651814,-0.14467615,-0.16437966,0.028114071,-0.057132255
-0.21933399,0.10943661,0.14221969,-0.21071765,-0.029637901,-0.23192273,-0.1490314,-0.14750013,-0.14500065,-0.16343291,0.028111612,-0.057429057
-0.22070974,0.10833723,0.14179736,-0.21245833,-0.029617773,-0.23343702,-0.14810273,-0.14778581,-0.14525153,-0.16360168,0.028092148,-0.05915023
-0.2194365,0.10697766,0.14168087,-0.21102454,-0.029664475,-0.22982323,-0.14848204,-0.14887863,-0.1454564,-0.16335274,0.02814065,-0.057145413
-0.21750712,0.10632221,0.141468,-0.20929876,-0.029704487,-0.22700469,-0.14956942,-0.14996791,-0.14555159,-0.16247867,0.028178973,-0.05886819
-0.21821548,0.10635613,0.14097305,-0.2116971,-0.029674761,-0.2260161,-0.14975569,-0.15067218,-0.14544441,-0.16156186,0.02814995,-0.059171557
-0.21787474,0.10789976,0.1407984,-0.21228781,-0.029658506,-0.22502841,-0.15028222,-0.15091991,-0.14537424,-0.16074692,0.02813446,-0.057869807
-0.21766408,0.10791165,0.1411303,-0.21372926,-0.029661098,-0.22496489,-0.14991991,-0.15089256,-0.14517239,-0.16069733,0.02813789,-0.059523534
-0.21812016,0.10823844,0.1409327,-0.21448208,-0.029664788,-0.22349484,-0.14928338,-0.15153372,-0.14515422,-0.16082299,0.028143901,-0.059324276
-0.218275,0.10865415,0.14120987,-0.21670388,-0.029710077,-0.22130868,-0.14788663,-0.15115662,-0.14563215,-0.16250026,0.028194046,-0.057701256
-0.21868251,0.11007693,0.14218241,-0.21843517,-0.02977702,-0.21882327,-0.14607055,-0.15056269,-0.14636171,-0.1639866,0.028268242,-0.055765837
-0.21800803,0.11188257,0.14359914,-0.21963954,-0.029814813,-0.21657003,-0.14553463,-0.14904624,-0.14642517,-0.16474834,0.028307678,-0.056968924
-0.21080081,0.11533666,0.14711685,-0.2137161,-0.029917154,-0.21117236,-0.14618021,-0.14652662,-0.1454331,-0.16677226,0.02841284,-0.055708893
0.15397094,-0.010663726,0.15499085,0.1523332,-0.029870834,0.13198432,-0.15140703,-0.15797347,-0.13482618,-0.16102442,0.02840496,0.045062162
0.19097523,-0.081114694,-0.14404975,0.19361314,0.029802758,0.23179781,0.17185618,0.16073583,0.1559658,0.15878507,-0.031542145,0.05758578
0.19525506,-0.08625363,-0.13757363,0.20217712,0.028840668,0.23106605,0.16806583,0.15752839,0.15331544,0.15336567,-0.03055018,0.06119125
0.19745727,-0.08650946,-0.1381885,0.20857032,0.028959299,0.22980393,0.16784655,0.15908536,0.1530428,0.15403916,-0.030674033,0.065813355
0.1995207,-0.087070614,-0.13920753,0.2143091,0.029055187,0.22669101,0.1655566,0.15952863,0.15338387,0.15575376,-0.030778103,0.06706722
0.20486926,-0.08750449,-0.1409256,0.22201145,0.029246675,0.22355717,0.16217108,0.16019662,0.15542449,0.1579238,-0.030981293,0.06670547
