-0.019091507,0.08765544,-0.341976,0.85146004,0.2807845,0.31604737,-0.012450464,-0.07407891,-0.012106031
0.06571378,0.35473472,-0.841607,2.15239,0.6489545,0.8574073,0.08366662,-0.12693541,0.0746836
0.08300828,0.53821176,-1.0332718,2.6864533,0.77056414,1.1429943,0.09811078,-0.13369855,0.08953031
0.081234924,0.53563637,-1.018199,2.746954,0.7966927,1.1228962,0.095985025,-0.12773532,0.08726946
0.040273163,0.50394756,-0.8200918,2.3368971,0.65880805,0.9706885,0.052488558,-0.13421977,0.04550095
0.10574155,-0.05805307,-0.11270624,1.7194945,0.51701593,0.09427808,0.12280889,-0.13562396,0.10800003
0.085332446,-0.2533088,0.6855717,0.38983032,0.69999903,-1.1248517,0.09965819,-0.14556035,0.08620085
0.09182718,-0.28269926,1.1024746,-0.17717841,0.6014304,-1.5339888,0.09567799,-0.13638502,0.091859326
0.09610106,-0.2397174,1.2220758,-0.31006005,0.5721317,-1.6384705,0.097204834,-0.12613747,0.09653111
0.10583349,-0.23599312,1.0746295,0.0046272986,0.6531811,-1.6400051,0.11781599,-0.15119895,0.10611818
0.11368099,-0.2562514,0.6832571,0.6072232,0.7725039,-1.5958503,0.13182314,-0.12489391,0.11476121
0.10521318,-0.28274715,-0.00068564,1.4456106,0.5762969,-1.2047145,0.12262347,-0.12316574,0.10839502
0.08822715,-0.29170918,-0.4951472,1.9835035,0.29538536,-1.0379653,0.107355446,-0.13732445,0.0937716
0.06720377,-0.34123498,-0.62475616,2.0195282,0.17207423,-1.3997332,0.08507204,-0.10581815,0.07238996
0.09947965,-0.31692946,-0.32303476,2.005769,-0.6024038,-1.1559933,0.11537954,-0.08412576,0.10815473
0.09079414,-0.3942952,0.60127723,1.4309918,-0.6029859,-1.9505175,0.10402539,0.004260673,0.09691989
0.081154086,-0.37389836,1.1723214,1.4413213,-0.9051842,-1.8008869,0.08676364,0.06974636,0.090075105
0.08209787,-0.34448949,1.3678514,1.5882355,-0.9853176,-1.5643489,0.086071596,0.09133975,0.090613574
0.0923518,-0.37583897,1.4007381,1.7155632,-0.89331174,-1.3933527,0.09490286,0.073291175,0.10111447
0.07873911,-0.40175202,0.98901415,1.7933371,-0.51280314,-1.4435976,0.0854958,0.08195335,0.08861602
