0.053826842,0.13750912,-0.24463943,0.051548228,0.23444104,-0.07047886,0.055380985,-0.034692116,0.051939648,0.3102956,-0.049231037,-0.1546339,-0.243324,0.13999562,-0.12248506
0.03969037,0.1456392,-0.6378393,0.03610263,0.7034544,0.120117724,0.040996157,-0.1631698,0.03670424,0.7925449,-0.033584137,-0.35619187,-0.6097585,0.33435422,-0.5107913
0.027648907,0.20137252,-0.7853795,0.026702179,0.8442245,0.12566094,0.028357217,-0.17595822,0.026991427,0.94704163,-0.025583554,-0.44003972,-0.9695033,0.38028872,-0.36000383
0.007980836,0.20276296,-0.7342448,0.009368243,0.92666876,0.11040045,0.008269222,-0.40689617,0.008765367,1.0864229,-0.009906434,-0.34656346,-1.1838219,0.32990962,0.009130821
0.027408458,0.15572184,-0.67624396,0.028170953,0.6635793,-0.07201812,0.028203486,-0.47065312,0.027550701,1.0678358,-0.024834927,-0.12049188,-1.2830883,0.22985873,0.50260204
0.009023693,0.17681971,-0.6273047,0.0080982,0.37091166,-0.081568435,0.00959125,-0.5457868,0.008602385,1.2489104,-0.0056530507,0.26398298,-1.3304203,0.07589412,0.47814193
0.022496149,-0.17389864,-0.42820802,0.021288222,-0.65748185,-0.079846844,0.02371809,0.2991661,0.021528475,0.91714066,-0.017700713,0.27318448,-1.1690062,-0.28513613,0.34023592
0.044716626,-0.17066658,0.2265303,0.04245454,-0.7399007,-0.06924038,0.045992367,0.37886956,0.04325256,1.008919,-0.03759205,0.28442562,-1.177606,-0.4947724,0.3941572
0.031113036,-0.15977575,0.639071,0.03097043,-0.7256854,-0.09578279,0.031942777,0.57379925,0.030841727,0.96676207,-0.028220665,0.22037841,-1.0917845,-0.40812498,0.39416757
0.03655344,0.18151666,0.5859049,0.037537284,-0.56376827,-0.07561733,0.0376873,0.6492878,0.036928117,0.8607485,-0.034113012,0.23617889,-1.1445836,0.07607067,0.3615282
0.05323622,0.18425883,0.648725,0.053722598,0.10549676,0.120497316,0.054318115,0.12167276,0.05331623,1.0027936,-0.048673898,0.13228871,-1.177346,0.334993,0.13991025
0.030299481,0.12114914,0.6441232,0.029735634,0.37138832,0.111533195,0.031249987,-0.12676093,0.030111056,0.9744836,-0.027559374,-0.14060037,-1.3349489,0.32988375,-0.24768329
0.03496442,0.14872155,0.60552114,0.033004165,0.5122363,0.09247069,0.03584476,-0.46496108,0.033892583,0.94078296,-0.030859455,-0.2189352,-1.6779461,0.2577277,-0.5312212
0.039641324,0.15648334,0.58506984,0.038118355,0.49505958,0.10045619,0.04044328,-0.57646835,0.038562026,0.7477592,-0.03595897,-0.2079522,-2.1444364,0.20216835,-0.53204584
0.06474735,0.16085047,0.46585056,0.06354743,0.4675338,0.10661386,0.065863274,-0.53112334,0.064071104,0.55660236,-0.05802896,0.070304446,-2.4590278,0.30653578,-0.4727252
0.06302176,0.20972838,0.20100962,0.062115304,-0.34825453,0.09300496,0.06416514,0.45261583,0.062478732,-0.15391533,-0.055475205,0.20039648,-2.8020654,0.27177787,-0.439146
0.04761858,0.19641487,0.18472329,0.046937242,-0.38757417,-0.10032791,0.048554905,0.83592075,0.04712533,-0.33872542,-0.041255124,0.25306097,-2.9663973,0.08980679,-0.40382966
0.04176518,0.19816597,0.53122544,0.0420075,0.31630942,-0.082654506,0.042667538,0.5113682,0.041629527,-0.024812954,-0.03846012,0.1884835,-3.0906663,-0.2444742,-0.328103
-0.14175463,-0.17236297,0.4639552,-0.14037433,0.45338494,0.11821924,-0.14158645,0.55088633,-0.14162609,-0.46818495,0.14021026,-0.027309116,-2.8159254,-0.3749686,-0.2190806
-0.1371234,-0.19530123,-0.2430231,-0.13446413,0.14735723,0.11582267,-0.13709494,0.6904212,-0.13635013,-0.85021365,0.13227475,-0.15036544,-2.516548,-0.32353035,-0.45452896
